loan_status,total_rec_prncp,sub_grade,emp_length,title,delinq_2yrs,loan_amnt,emp_title,inq_last_6mths,pub_rec,open_acc_6m,il_util,total_bc_limit,annual_inc,zip_code,addr_state,dti,mo_sin_old_il_acct,tot_coll_amt,inq_fi,total_cu_tl,bc_util,mort_acc,earliest_cr_line,last_credit_pull_d
Paid,151.32,A3,NA,Debt consolidation,0,3000,NA,0,0,0,49,74800,36000,184xx,PA,30.33,40,0,0,0,23.2,3,Apr-1984,Feb-2018
Paid,80.78,F4,4 years,Medical expenses,0,11200,Field Tech,1,0,1,41,32000,74460,995xx,AK,25.75,120,0,0,3,83.4,2,Feb-2007,Feb-2018
Paid,2059.09,A1,< 1 year,Debt consolidation,0,40000,Ammunition Manager,0,0,0,58,25000,100000,920xx,CA,18.84,129,0,0,7,62.1,1,Jan-2000,Feb-2018
Paid,175.66,C5,9 years,Debt consolidation,0,16000,Technician,0,0,0,87,800,40000,383xx,TN,32.01,52,0,0,0,63,1,Jun-2002,Feb-2018
Paid,284.39,A2,6 years,Other,0,11200,Vice President,0,0,2,56,112100,225000,071xx,NJ,9.62,134,0,0,0,19,6,Nov-2005,Feb-2018
Paid,74.31,B5,6 years,Other,0,3200,Hairstlist,0,1,0,62,5200,40000,480xx,MI,27.96,153,0,1,2,94.8,4,Aug-1999,Feb-2018
Paid,177.52,D2,4 years,Debt consolidation,0,8400,Welder,0,0,0,NA,5800,60000,300xx,GA,15.5,111,0,1,3,98.1,1,Sep-2008,Dec-2017
Paid,301.8,A3,10+ years,Vacation,0,12000,Project Manager,0,0,0,81,26800,75000,063xx,CT,11.94,63,0,1,0,4.9,0,Jun-2003,Feb-2018
Paid,240.86,C1,1 year,Debt consolidation,0,20000,Accounting Manager,0,0,0,110,15800,66000,431xx,OH,26.21,168,0,0,2,87,3,Oct-1998,Feb-2018
Paid,223.25,C4,3 years,Credit card refinancing,0,19800,engineer,1,0,1,86,39500,108600,021xx,MA,18.19,87,116,0,0,3.7,0,Dec-2009,Dec-2017
Paid,256.82,A1,10+ years,Debt consolidation,0,10000,Paralegal,1,0,2,60,68900,100000,087xx,NJ,8.7,152,0,3,0,11.3,4,Jun-1993,Feb-2018
Paid,507.84,A2,3 years,Debt consolidation,0,20000,Software Support Engineer,0,0,1,36,126000,100000,275xx,NC,18.74,60,0,1,0,3.7,2,May-2003,Feb-2018
Paid,592.35,A5,4 years,Debt consolidation,0,24000,Senior Valuation Consultant,0,0,0,NA,15500,70000,606xx,IL,1.03,NA,0,0,0,6.7,0,Jun-2014,Feb-2018
Paid,101.44,D2,10+ years,Debt consolidation,0,4800,Management,0,0,2,82,81500,150000,300xx,GA,30.86,174,0,0,3,79.6,6,Sep-1994,Feb-2018
Paid,124.57,A4,4 years,Major purchase,0,5000,respiratory therapist,0,0,1,62,31200,45000,142xx,NY,26.53,137,0,1,1,32,0,Mar-1991,Feb-2018
Paid,236.06,B4,10+ years,Other,2,10000,Real Estate sales,0,0,0,106,14200,80000,558xx,MN,14.22,170,0,1,1,79.8,4,Dec-1973,Feb-2018
Paid,394.9,A5,10+ years,Debt consolidation,0,16000,Associate to Database Services,1,0,1,54,22300,70000,770xx,TX,17.3,120,0,1,0,53.4,0,Aug-2007,Feb-2018
Paid,756.91,B5,< 1 year,Home buying,0,32600,Admissions Advisor,1,1,4,75,17800,55000,958xx,CA,25.41,168,0,1,1,24.3,1,Dec-2003,Feb-2018
Paid,329.37,C5,5 years,Debt consolidation,1,30000,"Licensed Mortician, Manager",0,1,1,69,8400,78500,207xx,MD,27.98,128,0,11,9,0,1,Apr-2007,Feb-2018
Paid,64.7,B2,3 years,Credit card refinancing,0,2700,Geologist,2,0,2,72,22400,55000,159xx,PA,37.12,98,0,0,0,38.3,2,Dec-2007,Feb-2018
Paid,86.38,A5,5 years,Other,1,3500,Substance Abuse Counselor,0,0,0,80,19800,45630,701xx,LA,21.7,127,0,0,0,31.3,0,May-2007,Feb-2018
Paid,133.08,E4,10+ years,Other,0,16000,Research Coordinator,0,0,0,69,9600,51000,389xx,MS,27.53,162,0,2,0,96.7,0,Oct-1999,Feb-2018
Paid,246.81,A5,< 1 year,Vacation,0,10000,Fabrication,3,0,0,27,5900,40000,679xx,KS,13.53,24,0,1,0,19.6,0,Feb-2014,Feb-2018
Paid,266.49,D1,10+ years,Debt consolidation,0,25000,Business Analyst,0,0,0,89,17100,95000,020xx,MA,13.61,139,0,2,0,85.1,3,Oct-1995,Feb-2018
Paid,236.76,C4,2 years,Debt consolidation,0,21000,"Program Manager, Marine Unit",0,0,0,41,36000,92000,320xx,FL,20.97,125,0,2,0,93.9,12,Sep-2002,Feb-2018
Paid,1015.67,A2,6 years,Other,0,40000,Engineer,0,0,0,64,11800,203000,750xx,TX,9.81,145,0,3,1,54.2,5,Aug-2001,Feb-2018
Paid,463.06,C3,10+ years,Credit card refinancing,0,40000,Sr. Lead Transport,1,0,0,NA,33500,60000,945xx,CA,11.77,115,0,0,1,67.5,4,Mar-1994,Feb-2018
Paid,174.14,B5,10+ years,Debt consolidation,0,7500,Bus Management Analyst,0,0,3,65,25600,75000,549xx,WI,25.62,178,0,2,0,41.8,5,Feb-2001,Feb-2018
Paid,99.31,F1,10+ years,Debt consolidation,0,13000,aide,0,0,2,74,10400,50200,115xx,NY,23.43,156,0,0,0,92.4,0,Feb-2004,Feb-2018
Paid,120.7,B1,8 years,Business,0,5000,Network/Computer Tech,0,0,0,53,13600,56000,367xx,AL,19.72,141,208,0,1,69.5,0,Jun-2005,Feb-2018
Paid,120.7,B1,4 years,Credit card refinancing,0,5000,Banquet Houseman,2,0,1,84,24000,55000,207xx,MD,28.63,124,0,2,0,60.3,0,Feb-2006,Feb-2018
Paid,120.43,C1,10+ years,Home improvement,0,10000,Packer,0,1,0,51,3600,45000,043xx,ME,21.63,59,0,3,1,0,0,Aug-2008,Feb-2018
Paid,193.12,B1,NA,Other,0,8000,NA,1,0,2,98,12500,25000,342xx,FL,26.79,43,0,0,2,38.1,0,Jul-2006,Feb-2018
Paid,634.79,A2,10+ years,Debt consolidation,0,25000,Data Center Manager,1,0,1,31,56000,144000,330xx,FL,21.38,164,0,1,0,40,2,Sep-2003,Feb-2018
Paid,958.38,B2,3 years,Business,0,40000,owner,2,0,2,54,33700,250000,980xx,WA,4.58,19,0,1,0,33.5,0,Oct-2012,Feb-2018
Paid,128.74,D1,NA,Home improvement,2,6000,NA,0,0,0,84,0,34800,782xx,TX,27.03,143,0,1,14,NA,4,Apr-1996,Feb-2018
Paid,770.45,A1,10+ years,Credit card refinancing,0,30000,"Vice President, Operations",0,0,1,30,107900,200000,370xx,TN,18.18,173,0,0,0,41.1,3,Jul-1982,Feb-2018
Paid,544.58,C4,6 years,Debt consolidation,1,24000,Manager,0,0,1,45,39400,65000,462xx,IN,24.45,220,0,0,0,42.4,4,Aug-1999,Feb-2018
Paid,207.53,D2,5 years,Debt consolidation,0,20000,N FL HCP Associate Vice President,0,1,2,64,36600,110000,320xx,FL,27.74,101,0,0,3,55.3,0,Mar-1998,Feb-2018
Paid,1015.67,A2,< 1 year,Debt consolidation,0,40000,Loss Mitigation Manager,0,0,2,89,56000,100000,928xx,CA,11.21,8,0,0,3,10.1,3,Aug-2005,Feb-2018
Paid,224.22,A4,3 years,Credit card refinancing,0,9000,Administrative Assistant,0,0,0,NA,26000,54000,946xx,CA,5.82,115,0,0,1,36.5,0,Jun-2005,Feb-2018
Paid,296.88,D5,10+ years,Debt consolidation,0,31475,Claims Specialist,0,0,0,69,26600,100000,386xx,MS,34.96,134,0,2,0,97,2,Nov-1997,Feb-2018
Paid,996.5,A4,5 years,Credit card refinancing,0,40000,Senior Java Developer,0,0,0,NA,55000,106800,553xx,MO,21.46,38,0,1,0,64.1,0,Sep-2013,Feb-2018
Paid,251.5,A3,2 years,Business,0,10000,President,0,0,1,NA,38400,102000,191xx,PA,18.32,132,0,0,1,41.2,0,Nov-1996,Feb-2018
Paid,484.67,B1,3 years,Debt consolidation,0,10000,Electro Mechanical Technician,0,1,1,8,12500,54000,070xx,NJ,13.4,129,0,0,0,56.4,0,Mar-2006,Feb-2018
Paid,716.56,B3,4 years,Credit card refinancing,2,15000,IT,0,0,1,36,16200,50000,564xx,MN,25.95,144,0,0,5,91.4,5,Jul-2002,Dec-2017
Paid,536.41,B4,7 years,Debt consolidation,0,22725,Conductor,0,0,0,39,24800,75000,381xx,TN,20.74,67,0,0,2,87.5,0,May-2004,Feb-2018
Paid,582.24,C3,< 1 year,Credit card refinancing,0,25000,Operations manager,0,0,1,85,30700,80000,212xx,MD,15.02,140,0,3,0,96.6,0,Jul-1995,Feb-2018
Paid,697.6,B5,2 years,Debt consolidation,0,10000,Manager,2,0,4,103,28400,250000,752xx,TX,2.64,51,0,2,0,9,1,Aug-2013,Feb-2018
Paid,337.19,C1,< 1 year,Debt consolidation,0,28000,Administrator,0,0,1,93,39200,135000,750xx,TX,10.22,139,720,1,2,69.2,5,Jun-2004,Feb-2018
Paid,301.06,C1,7 years,Debt consolidation,1,25000,Director,0,0,1,53,39600,245000,601xx,IL,34.26,148,106,0,4,64.4,5,Aug-1983,Feb-2018
Paid,188.62,A3,10+ years,Medical expenses,0,7500,Payroll Supr.,0,0,0,62,5000,62500,595xx,MT,10.6,152,0,0,8,54.5,0,Jun-2002,Feb-2018
Paid,481.7,C1,3 years,Home improvement,0,40000,Auto body tech,0,0,0,68,12800,120000,347xx,FL,6.43,119,0,3,0,91,3,Nov-2003,Jan-2018
Paid,319.28,B3,10+ years,Debt consolidation,1,25000,Assistant Finance Director,1,0,0,48,16000,154000,782xx,TX,4.67,183,0,0,1,54.6,2,Jan-1997,Feb-2018
Paid,148.09,A5,NA,Debt consolidation,0,6000,NA,1,0,1,83,6450,28800,349xx,FL,21.88,94,0,0,0,86,1,Mar-1999,Feb-2018
Paid,226.52,D4,10+ years,Home improvement,0,23050,Operations Manager,0,0,0,75,8600,52000,640xx,MO,28.83,23,0,0,0,60,1,Jan-1994,Feb-2018
Paid,405.18,C3,7 years,Debt consolidation,0,35000,Executive Vice President,1,2,2,53,161900,200000,926xx,CA,24.26,138,0,1,2,33.1,2,Sep-1998,Feb-2018
Paid,617.94,B1,10+ years,Debt consolidation,0,25600,Managing Director,0,0,0,56,24700,300000,201xx,VA,3.72,151,0,1,0,57.8,2,May-2005,Feb-2018
Paid,75.45,A3,2 years,Other,0,3000,Owner,0,0,0,61,45000,50000,404xx,KY,36.8,153,0,1,5,10.2,0,Jan-2000,Feb-2018
Paid,263.55,B2,9 years,Credit card refinancing,0,11000,Submissions,0,0,1,6,21200,110000,070xx,NJ,17.22,266,0,3,0,40.1,1,Oct-1995,Feb-2018
Paid,232.89,E3,2 years,Debt consolidation,0,12275,Digital Marketing Manager,0,0,1,84,26100,45000,023xx,MA,33.28,75,0,2,0,33.7,0,Sep-2011,Feb-2018
Paid,153.27,B3,NA,Debt consolidation,0,12000,NA,0,0,0,NA,12500,72000,349xx,FL,5.99,109,0,2,0,33.9,0,Dec-2004,Feb-2018
Paid,502.99,A3,10+ years,Credit card refinancing,0,20000,Realtor,0,1,1,57,45200,400000,281xx,NC,4.86,129,0,0,0,51.6,3,Dec-1998,Feb-2018
Paid,311.48,B2,10+ years,Debt consolidation,1,13000,Special Education Teacher,1,0,1,NA,27300,85000,462xx,IN,7.99,189,447,4,0,63.6,9,Nov-2001,Jan-2018
Paid,152.77,F1,< 1 year,Major purchase,1,20000,Lvn,0,0,0,89,4800,70000,925xx,CA,7.71,122,450,0,0,49.6,0,Oct-2007,Feb-2018
Paid,251.5,A3,5 years,Other,1,10000,RN,0,0,0,18,33200,70000,327xx,FL,34.01,162,0,0,1,34.9,2,Mar-2000,Feb-2018
Paid,92.87,B5,10+ years,Home improvement,0,4000,Warehouse,0,0,2,76,3400,36000,671xx,KS,21.03,126,0,1,7,87,2,Jun-2007,Feb-2018
Paid,258.76,B2,6 years,Debt consolidation,0,20000,Shift coordinator,0,0,2,45,33800,45000,134xx,NY,28.11,146,0,0,0,39.9,0,May-2004,Feb-2018
Paid,231.14,A1,10+ years,Credit card refinancing,0,9000,District Sales Manager,0,0,0,54,81000,158000,140xx,NY,6.74,184,0,2,0,27.7,3,May-1993,Feb-2018
Paid,123.28,A1,2 years,Medical expenses,0,4800,Crane Operator,0,0,0,45,27400,143000,400xx,KY,7.88,137,0,0,9,0.1,4,Jul-2006,Feb-2018
Paid,253.92,A2,7 years,Car financing,0,10000,Porter,1,0,1,NA,47400,54000,114xx,NY,0.56,NA,0,0,0,0.4,3,May-1996,Feb-2018
Paid,249.13,A4,10+ years,Credit card refinancing,0,10000,School Psychologist,2,0,2,39,16000,90000,494xx,MI,16.07,184,0,1,2,49,4,Oct-1999,Feb-2018
Paid,78.29,E1,5 years,Debt consolidation,0,4000,Local Account Executive,2,0,3,97,28600,55000,287xx,NC,11.35,41,0,0,0,37.3,1,Oct-2006,Feb-2018
Paid,301.06,C1,1 year,Credit card refinancing,0,25000,Practice Administrator,1,0,1,86,24000,105000,104xx,NY,24.75,159,0,1,0,67.9,0,Aug-1999,Feb-2018
Paid,193.11,B1,10+ years,Major purchase,0,8000,Administrative Coordinator,1,0,1,86,13300,84498,104xx,NY,11.62,91,0,1,0,7.7,0,Jun-1976,Feb-2018
Paid,109.79,C5,4 years,Home improvement,10,10000,"Environmental, Health, Safety Mgr",0,0,0,96,2100,100000,924xx,CA,11.63,129,0,1,2,29.9,2,Jul-2002,Feb-2018
Paid,231.53,C3,10+ years,Home improvement,0,20000,Owner,1,1,0,50,6500,60000,221xx,VA,12.26,122,0,0,1,0,0,Apr-2001,Feb-2018
Paid,740.43,A5,1 year,Debt consolidation,0,30000,Estimator,1,0,1,NA,3000,70000,336xx,FL,0,267,0,0,0,0,0,Aug-1995,Feb-2018
Paid,10271.48,C4,1 year,Debt consolidation,0,20000,Sales,1,0,1,85,12000,41000,331xx,FL,11.86,23,0,0,0,10.6,0,Jun-2013,Feb-2018
Paid,222.91,B5,10+ years,Debt consolidation,0,9600,UXO Technician,0,0,0,52,64300,140000,275xx,NC,23.05,196,0,0,0,96.5,2,Jul-1987,Feb-2018
Paid,98.27,D4,NA,Debt consolidation,0,10000,NA,0,0,0,41,6400,22000,630xx,MO,26.95,76,0,2,0,84.5,0,Aug-2011,Feb-2018
Paid,143.64,G1,10+ years,Debt consolidation,1,20000,Associate CIO,3,0,6,51,41700,254000,221xx,VA,16.86,136,0,6,2,83.6,6,Dec-1999,Feb-2018
Paid,79.08,B4,NA,Other,0,3350,NA,0,0,2,100,40300,75000,945xx,CA,21.49,105,0,0,7,58.5,2,Jun-1964,Feb-2018
Paid,215.46,G1,10+ years,Other,1,30000,Supervsir,0,0,0,83,44800,40000,103xx,NY,30.86,115,0,1,0,18.4,0,Aug-2005,Feb-2018
Paid,146.58,C4,10+ years,Debt consolidation,0,13000,Sales manager,0,0,0,62,15000,72000,333xx,FL,11.17,88,0,0,6,76.5,0,Jul-2005,Feb-2018
Paid,144.83,B1,10+ years,Medical expenses,0,6000,Clinical Program Manager,0,0,0,88,3000,160000,954xx,CA,0.83,299,2497,0,4,42.8,1,Jan-1993,Feb-2018
Paid,463.06,C3,10+ years,Other,0,40000,Owner/ Financial Professional,0,1,0,NA,19100,143000,152xx,PA,2.17,149,0,0,0,55.9,0,Jan-2004,Feb-2018
Paid,832.35,B3,10+ years,Other,0,35000,Room att,0,1,0,55,18800,55000,900xx,CA,23.69,250,65,0,1,16.5,0,Feb-1997,Feb-2018
Paid,29.9,A4,3 years,Debt consolidation,0,1200,Technician,3,0,2,102,28000,24000,606xx,IL,16.4,61,0,0,0,17.4,0,Jul-2012,Feb-2018
Paid,716.56,B3,3 years,Debt consolidation,0,15000,Finance,0,0,0,103,12200,55000,981xx,WA,17.48,112,0,1,0,83.3,0,Aug-2008,Feb-2018
Paid,97.86,E1,2 years,Debt consolidation,1,5000,IT Manager,2,0,2,93,41600,145000,441xx,OH,28.54,158,0,4,4,97,7,Sep-2003,Feb-2018
Paid,628.74,A3,10+ years,Debt consolidation,0,25000,Office Manager,0,0,0,69,57000,40000,167xx,PA,22.08,162,0,0,0,35.7,0,Jul-1983,Feb-2018
Paid,98.73,A5,6 years,Debt consolidation,0,4000,Quality Technician,0,0,0,61,22200,48000,392xx,MS,12.85,51,697,0,0,5,1,Aug-2001,Dec-2017
Paid,825.85,C2,10+ years,Debt consolidation,0,35000,Journeyman Electrician,0,0,0,22,36900,80000,550xx,MN,24.23,144,0,2,0,61.7,3,Sep-1999,Dec-2017
Paid,184.12,B4,< 1 year,Debt consolidation,0,7800,Program Coordinator,0,0,0,119,3900,37750,633xx,MO,8.84,124,96,0,0,95.8,0,Aug-2007,Feb-2018
Paid,91.66,F1,6 years,Debt consolidation,0,12000,Sales Associate,1,0,1,NA,2900,19200,117xx,NY,5.75,140,0,0,0,83.4,0,Oct-2005,Feb-2018
Paid,239.6,B2,10+ years,Debt consolidation,0,10000,Inspector,0,0,0,NA,30000,49000,280xx,NC,16.53,74,1491,0,0,51.4,0,Jul-1993,Feb-2018
Paid,296.18,A5,< 1 year,Home improvement,0,12000,Network Engineer,1,0,3,100,31400,65000,554xx,MN,13.52,104,0,1,1,26.8,5,Feb-2007,Feb-2018
Paid,95.13,B3,10+ years,Credit card refinancing,1,4000,Driver,2,0,1,35,21300,115000,112xx,NY,15.72,57,0,0,4,23.5,0,Sep-2009,Feb-2018
Paid,191.68,B2,3 years,Credit card refinancing,1,8000,Pharmacy Technician,2,0,1,89,4700,50000,083xx,NJ,20.33,87,0,0,0,97.1,0,Sep-2010,Feb-2018
Paid,255.4,B5,9 years,Credit card refinancing,0,11000,Heavy Equipment Operator,0,0,0,51,7000,83000,997xx,AK,8.89,113,0,0,5,99.2,0,Nov-2007,Feb-2018
Paid,166.97,A2,3 years,Debt consolidation,0,5000,Digital Marketing,1,0,0,37,51000,150000,473xx,IN,6.52,56,0,3,0,5.5,0,Jan-1993,Feb-2018
Paid,422.54,C3,7 years,Debt consolidation,0,36500,Hairdresser,0,0,0,53,20900,35000,454xx,OH,29.73,203,0,1,1,67.9,1,Dec-1999,Dec-2017
Paid,566.29,C2,9 years,Debt consolidation,0,24000,Prospective Payment System Coordinator,0,0,0,30,15000,30000,100xx,NY,67.28,119,0,0,0,85.3,0,Oct-2007,Feb-2018
Paid,234.63,C2,5 years,Debt consolidation,0,20000,Sales Associate,1,0,2,NA,8700,77000,327xx,FL,14.84,161,0,2,3,21.6,3,Apr-1993,Feb-2018
Paid,320.86,A5,9 years,Credit card refinancing,0,13000,rn,0,0,0,28,34000,70000,640xx,MO,13.29,138,0,1,1,32.7,1,Dec-2002,Feb-2018
Paid,161.94,A4,9 years,Home improvement,1,6500,Manager,0,1,2,81,82900,110000,254xx,WV,23.78,148,0,2,1,31,3,Mar-1999,Feb-2018
Paid,507.84,A2,5 years,Debt consolidation,0,20000,vp,1,0,1,NA,19000,50000,290xx,SC,4.1,102,0,0,2,25.7,2,May-2000,Feb-2018
Paid,219.58,C5,4 years,Debt consolidation,3,20000,Tractor Trailer Driver,0,1,0,67,0,65000,208xx,MD,17.58,109,0,1,4,NA,0,Jan-2003,Feb-2018
Paid,209.28,A4,1 year,Credit card refinancing,0,8400,Office Assistant,0,0,0,34,8600,31500,276xx,NC,24.23,147,0,0,0,78.9,0,Sep-2005,Feb-2018
Paid,479.19,B2,2 years,Debt consolidation,0,20000,Vice President,1,1,1,76,34600,211000,530xx,WI,8.52,133,0,1,1,20.3,2,Mar-2002,Feb-2018
Paid,171.66,D1,10+ years,Other,0,8000,Porter/ doorman,0,0,0,NA,18100,63000,100xx,NY,5.83,NA,0,0,0,39.6,0,Jan-2002,Feb-2018
Paid,474.26,B4,10+ years,Debt consolidation,0,10000,Manager,1,0,2,46,16100,30000,952xx,CA,27.28,118,2964,0,1,80.5,0,Jun-2001,Feb-2018
Paid,127.72,B3,3 years,Debt consolidation,0,10000,Software Engineer,0,0,0,61,45100,78000,432xx,OH,21.92,135,0,0,2,31.4,2,Aug-2006,Feb-2018
Paid,239.6,B2,8 years,Home improvement,0,10000,executive,0,0,1,65,18000,98000,300xx,GA,18.49,177,2515,3,0,35.5,0,Mar-2003,Feb-2018
Paid,244.4,B2,9 years,Credit card refinancing,1,10200,Executive Assistant,1,0,1,28,11900,65000,775xx,TX,49.13,181,0,2,0,45.7,2,Nov-2002,Feb-2018
Paid,502.99,A3,3 years,Debt consolidation,0,20000,Installer,0,0,0,81,45000,88000,493xx,MI,24.36,150,0,3,5,37.7,3,Jan-2004,Feb-2018
Paid,392.37,A4,10+ years,Debt consolidation,1,15750,Service Coordinator,0,0,1,NA,17500,96500,968xx,HI,12.22,139,0,2,0,10.7,0,May-2003,Feb-2018
Paid,86.57,C3,7 years,Credit card refinancing,0,3850,Surveillance Lead Operator,0,0,0,69,2900,38000,386xx,MS,20.06,102,66,0,0,86.8,0,Oct-2007,Feb-2018
Paid,330.09,A2,1 year,Credit card refinancing,0,13000,Food Service Director,0,0,0,NA,25300,60000,951xx,CA,3.9,NA,0,0,0,29.6,0,Feb-2011,Feb-2018
Paid,208.38,C3,3 years,Major purchase,0,18000,Food and Beverage Assistant Manager,0,0,1,95,0,33000,321xx,FL,19.14,70,257,0,2,NA,0,Apr-2006,Feb-2018
Paid,166.64,D3,< 1 year,Debt consolidation,1,16500,Attorney,0,0,0,118,4000,72000,914xx,CA,6.13,160,0,0,0,98.4,0,Mar-2000,Feb-2018
Paid,217.39,C3,3 years,Credit card refinancing,0,7000,Assistant Superintendent,0,0,2,94,6900,52000,752xx,TX,31.64,14,0,5,0,64.7,0,Oct-2014,Feb-2018
Paid,42.27,D2,2 years,Moving and relocation,2,2000,ACCOUNTING MANAGER,3,0,3,169,12800,100000,900xx,CA,12.62,133,0,1,0,68,0,Mar-2000,Feb-2018
Paid,499.41,B3,10+ years,Credit card refinancing,0,21000,Director,1,0,2,45,27500,210000,948xx,CA,10.29,190,0,0,0,77.2,3,Feb-1990,Feb-2018
Paid,196.56,E2,< 1 year,Debt consolidation,0,10200,Pro-Services Sales Associate,0,0,0,68,6800,30415,760xx,TX,25.89,91,0,1,0,98.8,1,Aug-2003,Feb-2018
Paid,568.83,C3,9 years,Home improvement,0,25300,Ceo,2,0,2,85,85200,125000,606xx,IL,19.37,69,0,5,2,16.5,1,Aug-2001,Feb-2018
Paid,188.84,B4,4 years,Credit card refinancing,0,8000,LPN,0,0,0,57,25700,38188,296xx,SC,35.17,157,0,0,0,58.1,1,Apr-2000,Feb-2018
Paid,181.1,D5,10+ years,Debt consolidation,0,19200,high school teacher,0,0,2,56,23000,64000,757xx,TX,30.86,160,0,0,1,80.1,3,Aug-1999,Feb-2018
Paid,252.47,D3,10+ years,Credit card refinancing,0,25000,Information Security Manager,0,0,1,80,16200,100000,207xx,MD,33.48,168,0,3,0,89.5,1,Dec-2003,Feb-2018
Paid,277.59,B1,10+ years,Credit card refinancing,0,11500,Director of Hospitalist Services,0,0,2,NA,14300,140000,895xx,NV,5.67,120,0,0,1,81.2,4,Nov-2007,Feb-2018
Paid,353.09,A3,10+ years,Credit card refinancing,0,7000,Shift Supervisor,0,0,1,59,18500,78400,550xx,MN,13.33,161,0,0,7,40.8,3,Mar-2004,Feb-2018
Paid,251.5,A3,10+ years,Credit card refinancing,0,10000,Representative,0,1,1,74,20800,90000,750xx,TX,23.11,75,0,1,0,44.3,2,Mar-1988,Feb-2018
Paid,327.63,B5,10+ years,Credit card refinancing,0,26750,Rural Mail Carrier,0,0,3,70,29500,67578,765xx,TX,26.25,165,0,0,0,41.9,1,Mar-2004,Feb-2018
Paid,98.27,D4,2 years,Debt consolidation,0,10000,Developer,0,1,0,52,11400,60000,800xx,CO,31.68,95,0,0,6,80.8,0,Feb-2009,Feb-2018
Paid,181.24,C2,10+ years,Other,0,8000,Nuclear technician,1,2,4,75,13600,71000,315xx,GA,18.34,114,666,2,0,18.8,2,Jan-2008,Feb-2018
Paid,421.49,C1,10+ years,Debt consolidation,1,35000,President of Mid-Atlantic Region,0,0,1,60,13000,215000,424xx,KY,7.26,257,0,0,0,81.5,3,May-1994,Feb-2018
Paid,148.09,A5,10+ years,Credit card refinancing,0,6000,IT Business Analyst,0,0,0,105,8700,108619,925xx,CA,20.42,160,0,0,0,92,0,Aug-2004,Feb-2018
Paid,193.11,B1,10+ years,Major purchase,0,8000,Management,1,0,0,62,23800,125000,335xx,FL,11.46,154,0,1,0,6.3,1,Feb-2005,Feb-2018
Paid,233.85,C5,2 years,Debt consolidation,0,21300,Sales,0,0,0,56,16000,60000,044xx,ME,18.12,67,243,0,1,84.2,2,Aug-2004,Feb-2018
Paid,513.31,B3,2 years,Debt consolidation,0,21500,Administrative Law Judge,0,0,0,NA,55200,160000,913xx,CA,6.89,65,0,2,3,69.7,2,Jan-1998,Feb-2018
Paid,112.75,C4,2 years,Debt consolidation,1,10000,Nurse,1,1,1,74,19000,52000,151xx,PA,18.12,147,564,1,0,3.4,0,Nov-2000,Feb-2018
Paid,298.95,A4,1 year,Debt consolidation,0,12000,Sales,0,1,0,68,56000,70000,454xx,OH,14.19,45,0,2,2,4,0,Oct-1996,Feb-2018
Paid,103.22,B5,9 years,Other,1,1000,Network Administrator,0,0,2,101,3300,63000,114xx,NY,10.04,99,0,0,1,65.1,0,Aug-2008,Feb-2018
